IDPERSON,SEXO,INDINOM,ANONAC,ANOMUE,EDAD,EDADREC,IDNIVEDU,CONDALFA,ESTACIV,RELIGION,IDIOMA,OCUPACI0,ORGANIZA,OCUPACIO,SITUACIO,AGENTE,AGENTERC,UBIGEONA,DEPNAC,DEPNA0,UBIGEO,DEPHEC,DEPHE0,PROVHEC,DISTHEC,AREA,REGION,PERIODO,TESTIMON,CEDAP,CVR,COMISEDH,CNDDHH,CICR,DEFPUEB,DP_ONG
0000000002,2,1,1964,1984,20,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,,,#NULL!,0501010000,05,1,0501,050101,1,1,2,2,0,1,1,1,0,1,0
0000000003,2,1,1960,1983,23,3,4,2,2,1,2,9,#NULL!,9,2,1,1,0903100000,09,3,0501010000,05,1,0501,050101,1,1,2,2,0,1,1,1,0,1,0
0000000006,2,1,1955,1984,29,3,5,2,2,1,2,1,#NULL!,1,1,1,1,0502030029,05,1,0502030029,05,1,0502,050203,0,1,2,2,0,1,0,0,0,1,0
0000000011,2,1,1962,1984,22,3,3,2,2,1,2,1,#NULL!,1,1,1,1,0511040026,05,1,0501110001,05,1,0501,050111,0,1,2,1,0,1,0,0,0,0,0
0000000013,2,1,1950,1984,34,4,5,2,2,1,2,3,#NULL!,3,1,1,1,0501080000,05,1,0501150000,05,1,0501,050115,0,1,2,1,0,1,0,0,0,1,1
0000000015,2,1,1954,1984,30,4,4,2,1,1,2,2,#NULL!,2,2,1,1,0501120001,05,1,0501010001,05,1,0501,050101,1,1,2,1,0,1,1,1,0,1,0
0000000017,2,1,1971,1989,18,2,3,2,2,1,2,2,#NULL!,2,2,3,2,0501020008,05,1,0501020020,05,1,0501,050102,0,1,4,3,0,1,0,0,0,1,0
0000000021,2,1,1948,1983,35,4,5,2,2,1,2,3,#NULL!,3,1,3,2,0501020000,05,1,0511010000,05,1,0511,051101,0,1,2,1,0,1,0,0,0,0,0
0000000023,2,1,1964,1980,16,2,4,2,1,1,1,#NULL!,#NULL!,#NULL!,1,1,1,0501010000,05,1,0501010000,05,1,0501,050101,1,1,1,1,0,1,0,0,0,0,0
0000000025,2,1,1952,1990,38,4,3,2,2,1,2,1,3,8,2,3,2,0501110001,05,1,0501110001,05,1,0501,050111,0,1,4,1,0,1,0,0,0,0,0
0000000026,1,1,1978,1993,15,2,4,2,1,1,2,#NULL!,#NULL!,#NULL!,1,3,2,1501110001,15,10,0501010000,05,1,0501,050101,1,1,5,1,0,1,0,0,0,0,0
0000000027,1,1,1984,1993,9,1,3,#NULL!,1,#NULL!,2,#NULL!,#NULL!,#NULL!,1,3,2,0501110001,05,1,0501010000,05,1,0501,050101,1,1,5,1,0,1,0,0,0,0,0
0000000029,2,1,1954,1989,35,4,3,2,2,1,2,1,#NULL!,1,1,3,2,0501140019,05,1,0501140019,05,1,0501,050114,0,1,4,6,0,1,0,0,0,0,0
0000000031,1,1,#NULL!,1983,#NULL!,#NULL!,1,1,4,1,2,1,#NULL!,1,1,1,1,0505080033,05,1,0505070000,05,1,0505,050507,0,1,2,1,0,1,0,0,0,0,0
0000000032,1,1,#NULL!,1983,#NULL!,#NULL!,1,1,2,1,2,1,#NULL!,1,2,3,2,0505080000,05,1,0505070001,05,1,0505,050507,0,1,2,1,0,1,0,0,0,0,0
0000000034,2,1,#NULL!,1989,#NULL!,#NULL!,1,1,3,1,2,1,#NULL!,1,1,3,2,0505070007,05,1,0505070007,05,1,0505,050507,0,1,4,1,0,1,0,0,0,0,0
0000000036,2,1,1941,1982,41,5,3,2,2,1,2,8,#NULL!,8,2,3,2,0502010045,05,1,0502010045,05,1,0502,050201,0,1,1,2,0,1,0,0,0,0,0
0000000046,2,1,1956,1983,27,3,4,2,2,1,2,5,#NULL!,5,2,3,2,0504010000,05,1,0505030001,05,1,0505,050503,0,1,2,1,0,1,0,0,0,1,1
